symbol,option_type,strike_price,expiration_date,last_price_usd,bid_price_usd,ask_price_usd,bid_iv,ask_iv,delta,gamma,theta,vega,open_interest,total traded volume,monetary volume
BTC-28MAR25-92000-C,call,92000.0,2025-03-28,2253.6925,2126.125,2211.17,49.79,50.83,0.31279,3e-05,-77.15645,81.61698,579.4,56.3,124521.9
BTC-28MAR25-92000-P,put,92000.0,2025-03-28,8504.5,8504.5,9057.2925,45.95,52.79,-0.68721,3e-05,-77.15645,81.61698,364.1,0.9,7364.67
BTC-28MAR25-94000-C,call,94000.0,2025-03-28,1743.4225000000001,1700.9,1785.9450000000002,50.48,51.62,0.26126,3e-05,-71.43429,74.93575,364.8,61.3,109026.36
BTC-28MAR25-94000-P,put,94000.0,2025-03-28,11140.895,10035.31,10588.102499999999,45.72,53.23,-0.73874,3e-05,-71.43429,74.93575,223.7,0.0,0.0
BTC-28MAR25-95000-C,call,95000.0,2025-03-28,1530.81,1530.81,1573.3325,50.98,51.58,0.23924,3e-05,-68.80263,71.51567,3107.1,633.6,982438.23
BTC-28MAR25-95000-P,put,95000.0,2025-03-28,9822.6975,10885.76,11396.03,46.31,53.6,-0.76076,3e-05,-68.80263,71.51567,3159.4,41.9,427735.61
BTC-28MAR25-96000-C,call,96000.0,2025-03-28,1360.72,1360.72,1445.765,51.22,52.47,0.21822,2e-05,-65.7652,67.91839,603.4,116.3,146584.82
BTC-28MAR25-96000-P,put,96000.0,2025-03-28,11991.345,11778.732500000002,12246.48,47.31,54.31,-0.78184,2e-05,-65.75287,67.90565,564.2,10.1,120829.77
BTC-28MAR25-98000-C,call,98000.0,2025-03-28,1105.585,1105.585,1148.1075,52.26,52.96,0.1824,2e-05,-60.16418,60.97603,1015.8,88.2,86366.61
BTC-28MAR25-98000-P,put,98000.0,2025-03-28,20113.142499999998,13437.11,14032.425000000001,46.4,56.44,-0.8176,2e-05,-60.16418,60.97603,440.4,0.0,0.0
BTC-28MAR25-100000-C,call,100000.0,2025-03-28,892.9725000000001,892.9725000000001,935.4949999999999,53.16,53.94,0.15251,2e-05,-54.64602,54.32801,5166.6,145.2,130954.28
BTC-28MAR25-100000-P,put,100000.0,2025-03-28,15860.8925,15308.099999999999,15818.369999999999,48.27,57.84,-0.84754,2e-05,-54.63344,54.3155,1259.0,2.2,34482.15
BTC-28MAR25-102000-C,call,102000.0,2025-03-28,722.8825,722.8825,765.405,54.05,54.94,0.12772,2e-05,-49.39701,48.15499,417.1,24.0,20167.24
BTC-28MAR25-102000-P,put,102000.0,2025-03-28,15903.414999999999,17136.5675,17646.837499999998,48.54,59.41,-0.87223,2e-05,-49.4118,48.16898,399.0,1.1,18990.73
BTC-28MAR25-104000-C,call,104000.0,2025-03-28,552.7925,595.315,680.36,55.14,57.12,0.10792,1e-05,-44.81871,42.74199,283.6,10.3,5967.83
BTC-28MAR25-104000-P,put,104000.0,2025-03-28,23302.33,19007.5575,19517.8275,49.06,61.34,-0.89199,1e-05,-44.84998,42.77182,75.1,0.0,0.0
BTC-28MAR25-105000-C,call,105000.0,2025-03-28,552.7925,552.7925,595.315,55.96,57.02,0.09962,1e-05,-42.79176,40.33535,2092.0,105.0,71097.18
BTC-28MAR25-105000-P,put,105000.0,2025-03-28,20623.4125,19985.574999999997,20453.3225,50.0,61.91,-0.90047,1e-05,-42.76124,40.30658,600.8,0.4,8272.64
BTC-28MAR25-106000-C,call,106000.0,2025-03-28,552.7925,510.27000000000004,552.7925,56.69,57.81,0.09137,1e-05,-40.51811,37.84994,205.1,1.2,603.99
BTC-28MAR25-106000-P,put,106000.0,2025-03-28,19602.8725,20921.07,21431.34,49.91,63.63,-0.90861,1e-05,-40.52364,37.85483,33.7,0.0,0.0
BTC-28MAR25-108000-C,call,108000.0,2025-03-28,425.225,425.225,467.74749999999995,57.76,59.02,0.07777,1e-05,-36.65966,33.53706,858.8,0.4,172.72
BTC-28MAR25-108000-P,put,108000.0,2025-03-28,28319.985,22834.5825,23344.8525,49.91,65.56,-0.92223,1e-05,-36.65966,33.53706,46.3,0.0,0.0
BTC-28MAR25-110000-C,call,110000.0,2025-03-28,382.7025,374.19800000000004,391.207,59.44,60.01,0.06754,1e-05,-33.75052,30.10279,6431.7,123.2,40110.25
BTC-28MAR25-110000-P,put,110000.0,2025-03-28,32827.37,24790.617499999997,25300.887499999997,51.09,68.23,-0.93246,1e-05,-33.75052,30.10279,249.6,0.0,0.0
BTC-28MAR25-112000-C,call,112000.0,2025-03-28,314.66650000000004,323.171,340.18,60.78,61.42,0.05838,1e-05,-30.77846,26.86983,770.0,4.0,1147.97
BTC-28MAR25-112000-P,put,112000.0,2025-03-28,25045.7525,26661.607500000002,27214.4,44.41,69.53,-0.94162,1e-05,-30.77846,26.86983,15.5,0.0,0.0
BTC-28MAR25-114000-C,call,114000.0,2025-03-28,272.144,272.144,297.6575,61.73,62.8,0.05089,1e-05,-28.21733,24.10563,371.4,5.0,1386.77
BTC-28MAR25-115000-C,call,115000.0,2025-03-28,255.13500000000002,255.13500000000002,280.6485,62.43,63.56,0.04759,1e-05,-27.02913,22.84912,2588.6,26.8,6915.15
BTC-28MAR25-115000-P,put,115000.0,2025-03-28,36356.737499999996,29638.1825,30148.4525,46.09,72.81,-0.95241,1e-05,-27.02893,22.84895,70.7,0.0,0.0
BTC-28MAR25-120000-C,call,120000.0,2025-03-28,187.09900000000002,187.09900000000002,212.6125,65.76,67.19,0.03529,1e-05,-22.38884,17.92851,9643.3,17.6,3580.4
BTC-28MAR25-120000-P,put,120000.0,2025-03-28,36016.557499999995,34570.792499999996,35038.54,0.8,77.27,-0.96471,1e-05,-22.38867,17.92837,551.0,0.1,3553.68
BTC-28MAR25-125000-C,call,125000.0,2025-03-28,153.081,153.081,170.09,69.8,70.95,0.0275,0.0,-19.22134,14.58555,1557.9,5.1,874.51
BTC-28MAR25-125000-P,put,125000.0,2025-03-28,42650.0675,39545.925,40098.7175,0.8,86.91,-0.97251,0.0,-19.2209,14.58517,21.4,0.0,0.0
BTC-28MAR25-130000-C,call,130000.0,2025-03-28,127.56750000000001,119.063,136.072,72.86,74.29,0.02206,0.0,-16.79273,12.12367,4630.0,26.3,3380.12
BTC-28MAR25-130000-P,put,130000.0,2025-03-28,52302.674999999996,44478.535,44988.805,0.8,90.03,-0.97794,0.0,-16.79303,12.12389,165.0,0.0,0.0
BTC-28MAR25-135000-C,call,135000.0,2025-03-28,119.063,93.54950000000001,119.063,75.68,78.22,0.01794,0.0,-14.7313,10.17555,1313.2,3.0,342.19
BTC-28MAR25-135000-P,put,135000.0,2025-03-28,51027.0,49368.622500000005,49963.9375,0.8,95.79,-0.98206,0.0,-14.7313,10.17555,22.8,0.0,0.0
BTC-28MAR25-140000-C,call,140000.0,2025-03-28,102.05399999999999,85.045,93.54950000000001,79.67,80.66,0.01475,0.0,-12.95553,8.60341,3589.8,22.2,1918.64
BTC-28MAR25-140000-P,put,140000.0,2025-03-28,62763.21,54301.2325,54939.07,0.8,101.22,-0.98525,0.0,-12.95577,8.60356,42.6,0.0,0.0
BTC-28MAR25-145000-C,call,145000.0,2025-03-28,85.045,59.5315,93.54950000000001,80.76,85.43,0.01245,0.0,-11.62252,7.42953,1218.2,10.0,852.75
BTC-28MAR25-150000-C,call,150000.0,2025-03-28,76.5405,51.026999999999994,76.5405,83.62,87.74,0.01004,0.0,-9.89727,6.16122,6279.2,2.0,151.43
BTC-28MAR25-150000-P,put,150000.0,2025-03-28,60552.03999999999,64336.542499999996,64889.335,0.8,110.74,-0.98996,0.0,-9.89727,6.16122,7.5,0.0,0.0
BTC-28MAR25-160000-C,call,160000.0,2025-03-28,51.026999999999994,42.5225,59.5315,89.89,93.33,0.00777,0.0,-8.46133,4.92557,1867.4,2.0,100.9
BTC-28MAR25-170000-C,call,170000.0,2025-03-28,51.026999999999994,34.018,51.026999999999994,95.04,99.22,0.00653,0.0,-7.7422,4.22493,376.7,5.2,227.21
BTC-28MAR25-175000-C,call,175000.0,2025-03-28,42.5225,25.513499999999997,51.026999999999994,95.7,102.78,0.00612,0.0,-7.53649,3.98781,773.2,1.2,58.96
BTC-28MAR25-180000-C,call,180000.0,2025-03-28,34.018,25.513499999999997,42.5225,98.96,104.17,0.00529,0.0,-6.74612,3.5046,2248.5,15.3,561.05
BTC-28MAR25-180000-P,put,180000.0,2025-03-28,70502.305,94102.29250000001,94782.65250000001,0.8,137.01,-0.99471,0.0,-6.74801,3.50559,13.0,0.0,0.0
BTC-28MAR25-200000-C,call,200000.0,2025-03-28,25.513499999999997,17.009,25.513499999999997,106.93,110.97,0.00307,0.0,-4.41413,2.15347,3566.3,7.5,192.92
BTC-28MAR25-200000-P,put,200000.0,2025-03-28,87638.8725,114002.82250000001,114895.795,0.8,161.59,-0.99693,0.0,-4.41538,2.15408,16.5,0.0,0.0
BTC-28MAR25-220000-C,call,220000.0,2025-03-28,17.009,8.5045,42.5225,110.77,127.74,0.00253,0.0,-4.01803,1.80897,1214.0,2.0,34.27
BTC-28MAR25-220000-P,put,220000.0,2025-03-28,87936.53,133903.3525,134753.8025,0.8,170.58,-0.99747,0.0,-4.01803,1.80897,27.1,0.0,0.0
BTC-28MAR25-250000-C,call,250000.0,2025-03-28,8.5045,8.5045,17.009,123.88,131.03,0.00194,0.0,-3.46264,1.42023,1201.1,4.0,34.31
BTC-28MAR25-250000-P,put,250000.0,2025-03-28,127856.653,163881.715,164732.165,0.8,192.27,-0.99806,0.0,-3.46336,1.42052,37.3,0.0,0.0
BTC-28MAR25-300000-C,call,300000.0,2025-03-28,8.5045,0.0,8.5045,0.8,142.23,0.00079,0.0,-1.63214,0.62538,2091.9,0.0,0.0
BTC-28MAR25-300000-P,put,300000.0,2025-03-28,170217.5675,213590.5175,214781.14750000002,0.8,227.8,-0.99921,0.0,-1.63248,0.62551,38.3,0.0,0.0
BTC-25APR25-40000-C,call,40000.0,2025-04-25,43840.697499999995,45371.5075,45711.6875,0.8,107.94,0.98957,0.0,-7.76879,9.17683,1.4,0.0,0.0
BTC-25APR25-40000-P,put,40000.0,2025-04-25,93.54950000000001,102.05399999999999,136.072,90.24,94.05,-0.01043,0.0,-7.76879,9.17683,44.0,8.1,767.82
BTC-25APR25-50000-C,call,50000.0,2025-04-25,38270.25,35548.81,35974.034999999996,62.3,86.82,0.97526,0.0,-13.52354,19.23168,6.1,0.0,0.0
BTC-25APR25-50000-P,put,50000.0,2025-04-25,255.13500000000002,238.126,272.144,75.53,77.34,-0.02474,0.0,-13.52354,19.23168,232.8,6.0,1557.69
BTC-25APR25-60000-C,call,60000.0,2025-04-25,30531.155,23685.0325,28957.822500000002,0.8,110.63,0.94329,1e-05,-21.90274,37.82976,0.2,0.0,0.0
BTC-25APR25-60000-P,put,60000.0,2025-04-25,510.27000000000004,510.27000000000004,595.315,62.06,64.33,-0.05671,1e-05,-21.90204,37.82865,355.7,20.4,11324.75
BTC-25APR25-65000-C,call,65000.0,2025-04-25,0.0,18752.4225,24578.004999999997,0.8,100.4,0.91148,1e-05,-28.23282,53.24328,0.0,0.0,0.0
BTC-25APR25-65000-P,put,65000.0,2025-04-25,807.9275,807.9275,892.9725000000001,57.0,58.62,-0.08852,1e-05,-28.23282,53.24328,32.7,12.8,10907.34
BTC-25APR25-70000-C,call,70000.0,2025-04-25,16796.3875,16796.3875,17434.225,50.34,58.95,0.85876,1e-05,-36.87259,74.32957,97.3,0.7,12180.94
BTC-25APR25-70000-P,put,70000.0,2025-04-25,1403.2425,1360.72,1445.765,53.45,54.61,-0.14124,1e-05,-36.87259,74.32957,789.1,249.2,389339.08
